SMILES,Name,pIC50
CCO/N=C(\CCN1CCN(c2ccccc2)CC1)c1ccccc1,CHEMBL213246,5
CCO/N=C(\CCN1CCN(c2ccccc2C#N)CC1)c1ccccc1,CHEMBL386867,5
CCO/N=C(\CCN1CCN(c2ccccc2OC)CC1)c1ccccc1,CHEMBL212607,5
CCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,CHEMBL212782,5
CCO/N=C(\CCN1CCN(c2ncccc2C#N)CC1)c1ccccc1,CHEMBL213398,5
CCO/N=C(\CCN1CCN(c2ncccc2C)CC1)c1ccccc1,CHEMBL379597,5
CCO/N=C(\CCN1CCN(c2ncccn2)CC1)c1ccccc1,CHEMBL377023,5
CCO/N=C(\CCN1CCN(c2nccs2)CC1)c1ccccc1,CHEMBL377388,5
CCO/N=C1/c2ccccc2CCC1CN1CCN(c2ccccn2)CC1,CHEMBL212901,5
CCOC(=O)N1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,CHEMBL491209,5
CCOC(=O)N1CCC(N2CCC[C@@H](NC(=O)c3ccccc3C)C2)CC1,CHEMBL1916224,4.522878745
